customerId,productId,reaction,messageDelay,reactionTimestamp
5856,943,"Very inaccurate distances. Would say I was as much as 300 yards away from an intersection when I was actually at the intersection. It wouldn't notice that I had failed to turn until a block or 2 later. If I changed the route (as I often did since it would suggest some really bizarre routes) it would recalculate and try to send me through convoluted paths to return to its original route. Basically, I found it useless..",1000,2013-09-26T09:12:19Z
2389,889,"We were Tivo DirecTV customers for three years. Loved Tivo, but hated the way DirecTV was treating their Tivo customers. We did the only reasonable thing and dumped DirecTV in favor of Cable and the new Tivo HD DVR box. Great picture, great on-screen guide, handy hard drive capacity expandability, and it does everything we want. We don't miss VOD and PPV, as we have all the download features availble to our Tivo box through our high speed DSL connection. The soon to be released (2Q, 2008) SDV addition (through a USB port) will make this Tivo Box even better and more compatible with new cable company upgrades and features. When they new cable and DirecTV DVRs are compared to Tivo, it's not even close, as Tivo wins, hands down. It's like a big college team playing a high school team..",2000,2012-09-10T12:43:31Z
18236,482,I've had this mp3 player for a few weeks and love it. I have an iPod Nano and I bought this mainly for the fm radio (a $50 add-on with an iPod) and for its small size to use while working out. It sounds better than my Nano. I wish I could find where to buy the bundled earbuds. I'd buy a couple of other pairs because they are the best I've come across (and I have purchased several in addition to the ones that came with my players).. This mp3 player is one of the real gems in audio available..,3000,2011-02-14T17:52:03Z
17756,368,Don't buy until they figure out their sign problems. Customer service is friendly but they don't know how to process returns. Let them work out their problems before buying..,4000,2011-07-03T17:36:47Z
6564,893,"I highly recommend the GO 720... it was extremely easy to use out of the box and the text-to-speech was very helpful, eliminating the need to look down at the screen. It definitely came in handy, as I am horrible at directions!.",5000,2010-04-26T09:05:23Z
8604,385,"I have switched between Verizon Blackberries and iPhones 3 times now. I am on my third blackberry with the first two being the 8830 and the 8330. I switch, generally, because I easily bore with a phone after a while. I am currently a law student, and right now a legal intern and love the speeding email and messaging capabilities of the blackberry.. With all of that useless info being said, I absolutely love this phone. When I felt the loose battery covery I hardly cared after playing around with the OS for a day. It is very responsive and does not lag nearly as much as the older models. I have not had to reset the phone once and I have had it since monday (today is thursday).. My biggest gripe is the fact that RIM decided to place the microphone on the bottom of the speaker which definitely causes a slight muffle to my voice going out. Luckily the incomming sound is so good, i decided to not care that other people probably cannot hear me as well as I can hear them.. So far so good with this one..",6000,2009-10-14T00:58:03Z
16671,945,"Beautiful picture, contrast, THX tops it off!.",7000,2014-01-30T21:26:04Z
20415,721,"This phone is a decent phone. Had a little trouble with it in the beginning when I first purchased it. The touchscreen is really touchy and the keypad is really nice to have. The camera 5mp and has a flash which for a phone is really good quality. There is quite a few free apps you can download for this phone. The battery life is not so good on it though, but I believe that may be the same thing with any type of smartphone. Its limited on accessories because there is not many things you can buy for the phone as in cases and such, but then again it is a newer phone and that stuff takes time. In the beginning I had a lot of problems with it freezing but I've had it for a while now and its not doing as much as it was in the beginning when I first purchased the phone. Overall it is a really nice phone to have..",8000,2013-11-08T07:27:52Z
18244,820,"5 out of 5 FANTASTIC STRESS-REDUCER Monday, January 21, 2008. addictedtoGarmin from NYC and upstate NY. I love this unit. This is my first GPS and I read tons of reviews to choose one. I went back and forth between this and the Tomtom 910T... but this one won. I wish I had the Tomtom voice control destination entry option (the only negative on this unit is having to enter the addresses), but this unit keeps the past addresses, so its really easy to access them once entered. I have it set to Daniel, the brit, and we have our arguments (its nice to have a navigating verbal companion). Daniel, although insistent about turning at times will readjust and offer me a new path. He offers me options along the way and always warns of turns in plenty of time. He tells me about a turn way in advance, tells me how long I will travel on this road, and then reminds me of the turn right before the turn. He even tells you which lane the exit will be in. So all the turns and exits are relaxed. The turn is also listened in advance at the top of the screen in large type (along with useful things such as the speed limit and time). You can just enjoy the ride without navigating. I travel backroads in the dark (with Mapquest I was reading my papers while driving - not good!) The routes chosen are excellent and the unit readjusts immediately if you missed the turn or you are taking another path. Its not turn-around-you-idiot... he (or the unit) offers the next idea and turn. I'm so impressed and addicted. Can't go anywhere without it!.",9000,2013-11-01T21:27:32Z
12245,960,their is nothing to say but the iphone 4 is the best phone in the world.,10000,2009-10-19T18:17:47Z
16055,389,"I had a Sony HD-50 MP3 player until someone took it off my desk at work. Since then, I've been using an Iriver player. Well, one listen to Sony's player... I've come back home to the best player in the world..",11000,2014-08-22T00:21:35Z
16291,955,"compared 330xls next to 340xls travelling in same car, on the same road, at the same time. 330xls had exact road information when 340xls lacked street names, one-way access points and posted speed limits. 340xls with iq routing option on made zig-zag turns increasing travel time. make sure to have a backup before using the map update feature. update crashed my unit three times. i do not require the maps for parts of mexico, i would have liked keeping ALL the map data features of the 330xls and having the mexico map as optional. summary- wait for a better revision or buy the 330xls instead..",12000,2009-09-23T18:23:05Z
9079,895,"Bought one, ear bud controls malfunctioned while I was running, Couldnt skip songs or adjust volume. I've read that they have problems when you prespire. Exchanged unit, same problem. Then it just stopped working. Returning unit - going back to 2nd generation shuffle..",13000,2014-03-14T19:27:45Z
8157,525,I would recommend buying a cheaper unit that lacks FM transmission but has all the other Nuvi features -.,14000,2013-06-07T04:09:55Z
15388,917,"I still like the product even though there are certain features that should be on there, but what the price is pending on where you go to purchase the item, is good one. If you are looking for a product that is user friendly and actually works, this is it..",15000,2008-12-11T23:57:04Z
18489,407,"I have a Nano that is still unopened because I figured something new and better would be coming out. I'm glad I waited.. The e250 is slightly larger than the Nano but it's trivial. I like it because it has a built-in FM radio, voice recorder, ability to record off the FM radio, a really nice screen, long battery life, and a consumer replaceable battery. All these things are very important to me. I know what I don't have to just listen to music and when the battery stops recharging, I can replace it!. I noticed that some people complained about the scroll wheel. Like anything else, once you get use to it, no big deal. I have small hands but using only one hand to access all of the controls is very easy.. I looked at the Samsung YP-Z5 but it doesn't have the FM radio either.. Oh lastly, the battery life is really great too.. I think that anyone who is contemplating getting a Nano should really consider. I'm glad that I did!.",16000,2008-08-28T01:56:11Z
14187,505,"I switched to LED LCD technology because I am sensitive to fluorescent light and that includes the backlighting which traditional LCD's use. I have 20/20 vision but LCD's have been giving me eyestrain as long as I can remember (and before that CRT's were even worse). This screen is primarily a computer monitor for me which I sit 4 feet from and is mounted on a wall behind my desk. I can stare at this thing for 12 hours straight with no eyestrain. I dont know if its because its at a further distance from my eyes than a standard monitor or because of the LED lighting. Regardless, this TV has the downright best picture quality Ive ever seen. For some reason alot of the TV's features are disabled in PC or DVI/ PC mode yet it is still the best looking computer monitor Ive ever used. Its colors look alot cooler and more realistic than my unrealistically warmer colored S-IPS panel which I upgraded from.. This TV has serious input lag. Id say the input lag may be as high as 100ms. This is a serious problem for gamers. I am a gamer, and almost returned the TV. The image quality was so good though that I just couldnt go back to my old S-IPS 26 computer monitor. Ive decided to live with the lag and enjoy the screen. The lag isnt bad enough to make games unplayable, I still play first person shooters and do just fine but its nowhere near the instantaneous response like on my old computer monitor.. This TV is awesome. It has the best picture Ive ever seen, and no eyestrain at all. If you're a competetive gamer like me, I would think twice about dealing with the serious input lag this TV has. Its really not that bad, and non competetive gamers wont even notice the lag. But if youre competitive you may want a TV with no input lag. I decided to keep the TV inspite of the lag due to how good it is..",17000,2012-01-26T01:34:06Z
18601,393,"Not recommend to buy Magellan GPS due to poor service and non-updated products without satisfied support.. No Map SD card as mentioned in the web specification found in the package after bought. Calling customer service to complain and the feedback was the map of 2 years ago has been install in the GPS and therefore no SD card given. However, updated map is not available for download. It has to pay an extra delivery cost around $25-$30 to get a free updated map SD card for the new map. Also, you have to buy your own SD (if you are not going to pay for the new map SD) for backup of the address/Poing of Interest stored in the GPS. Also, there is no AC Adapter for battery charging. Compare with Tomtom XL, this GPS is more expensive and not worth to buy it. Complaint for the extra cost of the SD card reaching their superior level has no solution too. Helpless..",18000,2014-01-13T20:05:43Z
20724,812,Way good Bang 4 My Buck!.,19000,2011-12-30T07:33:06Z
