descriminator,delay_from_start_ms,entity,currency,alphabeticCode,numericCode,minorUnit,withdrawalDate
Currency,0,AFGHANISTAN,Afghani,AFN,971,2,
Currency,0,ÅLAND ISLANDS,Euro,EUR,978,2,
Currency,0,ALBANIA,Lek,ALL,8,2,
Currency,0,ALGERIA,Algerian Dinar,DZD,12,2,
Currency,0,AMERICAN SAMOA,US Dollar,USD,840,2,
Currency,0,ANDORRA,Euro,EUR,978,2,
Currency,0,ANGOLA,Kwanza,AOA,973,2,
Currency,0,ANGUILLA,East Caribbean Dollar,XCD,951,2,
Currency,0,ANTARCTICA,No universal currency,,0,0,
Currency,0,ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2,
Currency,0,ARGENTINA,Argentine Peso,ARS,32,2,
Currency,0,ARMENIA,Armenian Dram,AMD,51,2,
Currency,0,ARUBA,Aruban Florin,AWG,533,2,
Currency,0,AUSTRALIA,Australian Dollar,AUD,36,2,
Currency,0,AUSTRIA,Euro,EUR,978,2,
Currency,0,AZERBAIJAN,Azerbaijan Manat,AZN,944,2,
Currency,0,BAHAMAS (THE),Bahamian Dollar,BSD,44,2,
Currency,0,BAHRAIN,Bahraini Dinar,BHD,48,3,
Currency,0,BANGLADESH,Taka,BDT,50,2,
Currency,0,BARBADOS,Barbados Dollar,BBD,52,2,
Currency,0,BELARUS,Belarusian Ruble,BYN,933,2,
Currency,0,BELGIUM,Euro,EUR,978,2,
Currency,0,BELIZE,Belize Dollar,BZD,84,2,
Currency,0,BENIN,CFA Franc BCEAO,XOF,952,0,
Currency,0,BERMUDA,Bermudian Dollar,BMD,60,2,
Currency,0,BHUTAN,Indian Rupee,INR,356,2,
Currency,0,BHUTAN,Ngultrum,BTN,64,2,
Currency,0,BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,68,2,
Currency,0,BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984,2,
Currency,0,"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,
Currency,0,BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,
Currency,0,BOTSWANA,Pula,BWP,72,2,
Currency,0,BOUVET ISLAND,Norwegian Krone,NOK,578,2,
Currency,0,BRAZIL,Brazilian Real,BRL,986,2,
Currency,0,BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,
Currency,0,BRUNEI DARUSSALAM,Brunei Dollar,BND,96,2,
Currency,0,BULGARIA,Bulgarian Lev,BGN,975,2,
Currency,0,BURKINA FASO,CFA Franc BCEAO,XOF,952,0,
Currency,0,BURUNDI,Burundi Franc,BIF,108,0,
Currency,0,CABO VERDE,Cabo Verde Escudo,CVE,132,2,
Currency,0,CAMBODIA,Riel,KHR,116,2,
Currency,0,CAMEROON,CFA Franc BEAC,XAF,950,0,
